Item,Price (INR),Description,Category,Image Filename,Image Search URL
Drawing Cake,200,Custom drawing/decorated cake,Cake Add-ons,drawing_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Drawing%20Cake%20food
Blueberry Cake,780,Blueberry filling/flavour cake,Cakes,blueberry_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Blueberry%20Cake%20food
Oreo Cake,780,Cake with crushed Oreo and creamy filling,Cakes,oreo_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Oreo%20Cake%20food
Choco Almond Cake,715,Dark chocolate with roasted almonds and chocolate fudge,Cakes,choco_almond_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Choco%20Almond%20Cake%20food
Milky Butterscotch,585,Milky butterscotch cake/dessert,Cakes,milky_butterscotch.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Milky%20Butterscotch%20food
Pineapple with Milk Maid,585,Pineapple cake/dessert with Milkmaid,Cakes,pineapple_with_milk_maid.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Pineapple%20with%20Milk%20Maid%20food
Hazelnut Cream,780,Creamy hazelnut cake/dessert,Cakes,hazelnut_cream.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Hazelnut%20Cream%20food
Fresh Fruits,780,Cake/dessert topped with fresh fruits,Cakes,fresh_fruits.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Fresh%20Fruits%20food
Honey Almond,650,Honey and almond flavoured cake,Cakes,honey_almond.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Honey%20Almond%20food
American Red Velvet,715,Classic red velvet cake,Cakes,american_red_velvet.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20American%20Red%20Velvet%20food
Choco Red Velvet,715,Chocolate and red velvet fusion cake,Cakes,choco_red_velvet.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Choco%20Red%20Velvet%20food
Celebrations,780,Celebration-style decorated cake,Cakes,celebrations.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Celebrations%20food
Kitkat Chocolate,780,Chocolate cake featuring KitKat,Cakes,kitkat_chocolate.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Kitkat%20Chocolate%20food
Cafe Delight,780,Creamy cafe-style dessert/cake,Cakes,cafe_delight.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Cafe%20Delight%20food
Fruits and Nuts,910,Cake/dessert with fruits and nuts,Cakes,fruits_and_nuts.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Fruits%20and%20Nuts%20food
Classic Italian Pizza,260,Soft cheesy vegetarian pizza with Italian style,Pizza,classic_italian_pizza.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Classic%20Italian%20Pizza%20food
Margherita Pizza,210,"Tomato sauce, mozzarella and basil",Pizza,margherita_pizza.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Margherita%20Pizza%20food
Corn Pizza,260,Pizza topped with sweet corn and cheese,Pizza,corn_pizza.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Corn%20Pizza%20food
Cake Box Veg Special Pizza,330,Special vegetarian pizza,Pizza,cake_box_veg_special_pizza.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Cake%20Box%20Veg%20Special%20Pizza%20food
Corn Paneer Pizza,280,"Pizza with corn, paneer and herbs",Pizza,corn_paneer_pizza.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Corn%20Paneer%20Pizza%20food
Farm House Pizza,300,Vegetable-loaded pizza,Pizza,farm_house_pizza.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Farm%20House%20Pizza%20food
Paneer Masala Pizza,300,"Pizza topped with paneer, chilli flakes and seasoning",Pizza,paneer_masala_pizza.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Paneer%20Masala%20Pizza%20food
Tandoori Paneer Pizza,300,"Pizza with paneer, onion, capsicum, olives and BBQ sauce",Pizza,tandoori_paneer_pizza.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Tandoori%20Paneer%20Pizza%20food
Cheese Corn Ball - 6P,260,"Cheese and corn balls, 6 pieces",Starters,cheese_corn_ball_6p.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Cheese%20Corn%20Ball%20-%206P%20food
Veg Manchurian,220,Crispy vegetable balls in tangy Indo-Chinese sauce,Starters,veg_manchurian.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Veg%20Manchurian%20food
Crispy Veg,230,Crispy fried vegetables with tangy sauce,Starters,crispy_veg.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Crispy%20Veg%20food
Veg 65,260,Spiced vegetables with Chinese-style sauces,Starters,veg_65.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Veg%2065%20food
Mushroom 65,240,Crispy mushroom florets in spicy batter,Mushroom Starters,mushroom_65.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Mushroom%2065%20food
Butter Garlic Mushrooms,300,Mushrooms cooked with butter and garlic,Mushroom Starters,butter_garlic_mushrooms.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Butter%20Garlic%20Mushrooms%20food
Mushroom Manchurian,260,Mushrooms with spicy Manchurian-style gravy,Mushroom Starters,mushroom_manchurian.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Mushroom%20Manchurian%20food
Chilli Mushroom,260,"Mushrooms with soy and chilli sauce, onions and bell peppers",Mushroom Starters,chilli_mushroom.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Chilli%20Mushroom%20food
Schezwan Mushroom,270,Mushrooms tossed in spicy Schezwan sauce,Mushroom Starters,schezwan_mushroom.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Schezwan%20Mushroom%20food
Badam Milk,90,Chopped almonds boiled in milk with kesar,Beverages,badam_milk.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Badam%20Milk%20food
Doughnut Eggless [1 piece],90,"Eggless doughnut, one piece",Bakery & Desserts,doughnut_eggless_1_piece.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Doughnut%20Eggless%20%5B1%20piece%5D%20food
Well Cake,130,Sweet bakery cake/treat,Bakery & Desserts,well_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Well%20Cake%20food
Alfredo,200,Vegetarian creamy sauce tossed with pasta,Pasta,alfredo.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Alfredo%20food
Alfredo Pasta,260,Creamy Alfredo pasta,Pasta,alfredo_pasta.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Alfredo%20Pasta%20food
Arrabiata,220,Vegetarian spicy tangy red sauce with pasta,Pasta,arrabiata.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Arrabiata%20food
Arrabbiata Pasta,280,Spicy tangy red sauce pasta,Pasta,arrabbiata_pasta.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Arrabbiata%20Pasta%20food
Pink Sauce Pasta,220,Italian rosa-style sauce pasta,Pasta,pink_sauce_pasta.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Pink%20Sauce%20Pasta%20food
Pink Sauce Pasta,280,Creamy pink sauce pasta,Pasta,pink_sauce_pasta.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Pink%20Sauce%20Pasta%20food
Blackcurrant Ice Cream [1 Scoop],80,"Blackcurrant ice cream, one scoop",Ice Cream,blackcurrant_ice_cream_1_scoop.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Blackcurrant%20Ice%20Cream%20%5B1%20Scoop%5D%20food
Caramel Nuts Ice Cream [1 Scoop],120,"Caramel and nut ice cream, one scoop",Ice Cream,caramel_nuts_ice_cream_1_scoop.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Caramel%20Nuts%20Ice%20Cream%20%5B1%20Scoop%5D%20food
Mango Ice Cream [1 Scoop],80,"Mango ice cream, one scoop",Ice Cream,mango_ice_cream_1_scoop.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Mango%20Ice%20Cream%20%5B1%20Scoop%5D%20food
Vanilla Ice Cream [1 Scoop],80,"Vanilla ice cream, one scoop",Ice Cream,vanilla_ice_cream_1_scoop.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Vanilla%20Ice%20Cream%20%5B1%20Scoop%5D%20food
Chocolate Ice Cream [1 Scoop],100,"Chocolate ice cream, one scoop",Ice Cream,chocolate_ice_cream_1_scoop.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Chocolate%20Ice%20Cream%20%5B1%20Scoop%5D%20food
Strawberry Ice Cream [1 Scoop],80,"Strawberry ice cream, one scoop",Ice Cream,strawberry_ice_cream_1_scoop.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Strawberry%20Ice%20Cream%20%5B1%20Scoop%5D%20food
Thums Up (250 ml),19,250 ml soft drink,Beverages,thums_up_250_ml.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Thums%20Up%20%28250%20ml%29%20food
Litchi Milkshake,160,Creamy litchi milkshake,Beverages,litchi_milkshake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Litchi%20Milkshake%20food
Sprite (250 ml),19,250 ml soft drink,Beverages,sprite_250_ml.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Sprite%20%28250%20ml%29%20food
Kinley (1.0 L),19,1 litre packaged water,Beverages,kinley_1_0_l.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Kinley%20%281.0%20L%29%20food
Pista Punch,160,Pistachio-flavoured drink,Beverages,pista_punch.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Pista%20Punch%20food
Veg Momos [5 Pieces],130,"Vegetable momos, 5 pieces",Starters,veg_momos_5_pieces.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Veg%20Momos%20%5B5%20Pieces%5D%20food
Peanut Biscuits,130,Crispy peanut biscuits,Cookies,peanut_biscuits.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Peanut%20Biscuits%20food
Warm Biscuits,150,Warm bakery biscuits,Cookies,warm_biscuits.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Warm%20Biscuits%20food
Stick Paneer - 5 Stick,280,"Paneer sticks, 5 pieces",Paneer Starters,stick_paneer_5_stick.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Stick%20Paneer%20-%205%20Stick%20food
Chilli Garlic Paneer,300,Paneer with chilli and garlic flavours,Paneer Starters,chilli_garlic_paneer.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Chilli%20Garlic%20Paneer%20food
Butter Garlic Paneer,300,Paneer cooked with butter and garlic,Paneer Starters,butter_garlic_paneer.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Butter%20Garlic%20Paneer%20food
Schezwan Paneer,280,Paneer with bold Schezwan sauce,Paneer Starters,schezwan_paneer.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Schezwan%20Paneer%20food
Paneer Majestic,300,Spiced smoked paneer cubes with tandoori masala,Paneer Starters,paneer_majestic.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Paneer%20Majestic%20food
Chili Paneer,290,"Fried paneer in sweet, sour and spicy sauce",Paneer Starters,chili_paneer.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Chili%20Paneer%20food
Paneer Manchurian,280,Crispy paneer Manchurian with sauce,Paneer Starters,paneer_manchurian.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Paneer%20Manchurian%20food
Paneer 65,280,Crispy South Indian spiced paneer,Paneer Starters,paneer_65.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Paneer%2065%20food
Potato Cheese Blast Burger,200,Potato and cheese burger,Burgers,potato_cheese_blast_burger.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Potato%20Cheese%20Blast%20Burger%20food
Paneer Patty Burger,230,Burger with a hearty paneer patty,Burgers,paneer_patty_burger.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Paneer%20Patty%20Burger%20food
Cake Box Special Double Patty Mega Burger,280,Special double-patty mega burger,Burgers,cake_box_special_double_patty_mega_burger.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Cake%20Box%20Special%20Double%20Patty%20Mega%20Burger%20food
Veg Patty Burger,180,Vegetable patty with lettuce and tangy sauce,Burgers,veg_patty_burger.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Veg%20Patty%20Burger%20food
Classic Burger,200,Potato patty with vegetables and tangy sauce,Burgers,classic_burger.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Classic%20Burger%20food
Mango,100,Chilled creamy mango dessert/drink,Sundaes & Desserts,mango.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Mango%20food
Black Current,100,Chilled blackcurrant-flavoured dessert/drink,Sundaes & Desserts,black_current.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Black%20Current%20food
Caramel Nuts,150,Sweet and nutty caramel dessert,Sundaes & Desserts,caramel_nuts.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Caramel%20Nuts%20food
Milk Butterscotch Pastry,120,Milk butterscotch pastry,Pastries,milk_butterscotch_pastry.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Milk%20Butterscotch%20Pastry%20food
Honey Almond Pastry,130,Honey almond pastry,Pastries,honey_almond_pastry.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Honey%20Almond%20Pastry%20food
Black Forest Pastry,110,Chocolate sponge with rich cherry-style filling,Pastries,black_forest_pastry.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Black%20Forest%20Pastry%20food
Whole Wheat Bread,110,Soft wholesome whole wheat bread,Breads,whole_wheat_bread.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Whole%20Wheat%20Bread%20food
Dry Cake,169,Dry cake/bakery treat,Breads,dry_cake.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Dry%20Cake%20food
Veg Momos,125,Steamed vegetable dumplings with chilli-garlic sauce,Momos,veg_momos.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Veg%20Momos%20food
Paneer Momos,145,Steamed dumplings filled with paneer,Momos,paneer_momos.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Paneer%20Momos%20food
Corn Cheese Sandwich,200,"Sweet corn, mayo and cheese in whole-wheat bread",Sandwiches,corn_cheese_sandwich.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Corn%20Cheese%20Sandwich%20food
Mushroom Sandwich,145,Creamy mushroom and cheese grilled sandwich,Sandwiches,mushroom_sandwich.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Mushroom%20Sandwich%20food
Paneer Sandwich,200,Paneer and fresh vegetable sandwich,Sandwiches,paneer_sandwich.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Paneer%20Sandwich%20food
Paneer Makhani Sandwich,220,Paneer with rich tomato gravy in grilled bread,Sandwiches,paneer_makhani_sandwich.jpg,https://www.google.com/search?tbm=isch&q=Cake%20Box%20Kakinada%20Paneer%20Makhani%20Sandwich%20food
